plant_id,scientific_name_key,scientific_name,common_name,native_states,plant_type,sunlight,moisture,maintenance,zone_min,zone_max,bloom_start,bloom_end,accepted_usda_code,plant_family,growth_habit,duration,size_notes,bloom_color,bloom_time,water_use,light_requirements,soil_moisture,soil_ph,soil_description,wildlife_use,commercial_availability,propagation_description,supports_full_sun,supports_part_shade,supports_shade,supports_low_water,supports_medium_water,supports_high_water,bloom_jan,bloom_feb,bloom_mar,bloom_apr,bloom_may,bloom_jun,bloom_jul,bloom_aug,bloom_sep,bloom_oct,bloom_nov,bloom_dec,pollinator_group,pollinator_observation_count,supports_bee_observed,supports_butterfly_observed,supports_moth_observed,supports_fly_observed,supports_beetle_observed,supports_wasp_observed,supports_hummingbird_observed,has_ladybird_data,has_pollinator_data,display_name
PLANT-00019,actaea racemosa,Actaea racemosa,Black Baneberry,Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kentucky | Maine | Maryland | Massachusetts | Michigan | Mississippi | Missouri | New Jersey | New York | North Carolina | Ohio | Pennsylvania | South Carolina | Tennessee | Virginia | West Virginia,Herbaceous perennial,Part shade to full shade,Medium,Low,3,8,June,July,ACRA7,Ranunculaceae,Herb,Perennial,Up to about 8 feet tall.,"White , Green","Jun , Jul , Aug , Sep",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Black Baneberry
PLANT-00020,adiantum capillus-veneris,Adiantum capillus-veneris,"Southern Maidenhair Fern, Common Maidenhair Fern, Maidenhair Fern, Venus Hair Fern",Alabama | Arizona | Arkansas | California | Colorado | Florida | Georgia | Hawaii | Kentucky | Louisiana | Maryland | Mississippi | Missouri | Nevada | New Mexico | North Carolina | Ohio | Oklahoma | South Carolina | South Dakota | Tennessee | Texas | Utah | Virginia,Fern,Part shade to full shade,Medium,Low,5,8,Non-flowering,Non-flowering,ADCA,Pteridaceae,Fern,Perennial,Height 6-20 inches.,Not Applicable,,"Medium , High","Part Shade , Shade","Moist , Wet",Alkaline (pH>7.2),"Moist, well-drained sand, loam or limestone. Can occur as an attached mass growing directly on rock outcroppings where moisture is present",,yes,Propagated by,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Southern Maidenhair Fern, Common Maidenhair Fern, Maidenhair Fern, Venus Hair Fern"
PLANT-00021,adiantum pedatum,Adiantum pedatum,"Northern Maidenhair Fern, Maidenhair Fern",Alabama | Alaska | Arkansas | Connecticut | Delaware | Georgia | Illinois | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Fern,Part shade to full shade,Medium,Low,3,8,Non-flowering,Non-flowering,ADPE,Pteridaceae,Fern,Perennial,Fronds up to about 30 inches long.,Not Applicable,"Jun , Jul , Aug , Sep , Oct , Nov",Medium,"Part Shade , Shade",Moist,Circumneutral (pH 6.8-7.2),"Rich, moist, well-drained soils, mostly acidic but can tolerate some lime.",Provides shelter for toads and lizards.,yes,Easily propagated by,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Northern Maidenhair Fern, Maidenhair Fern"
PLANT-00022,aesculus californica,Aesculus californica,California Buckeye,California,Tree,Full sun to part shade,Medium,Medium,7,8,February,March,AECA,Hippocastanaceae,Shrub,Perennial,"Height 15-40 feet, spread 30-60 feet.","White , Pink","Apr , May , Jun",Medium,"Sun , Part Shade",Dry,,"Poor, dry soils.","Chipmunks and squirrels consume the seeds, but bees are poisoned by the",yes,Fall-sown seeds germinate easily without pretreatment.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,California Buckeye
PLANT-00023,aesculus flava,Aesculus flava,"Yellow Buckeye, Sweet Buckeye",Alabama | Georgia | Illinois | Indiana | Kentucky | Maryland | Mississippi | New Jersey | North Carolina | Ohio | Pennsylvania | South Carolina | Tennessee | Virginia | West Virginia,Tree,Full sun to part shade,Medium,Medium,4,8,April,May,AEFL,Hippocastanaceae,Tree,Perennial,Up to about 75 feet tall.,White,"Apr , May , Jun",High,Shade,Moist,Circumneutral (pH 6.8-7.2),"Rich, moist, well-drained soils.",Squirrels eat the nuts.,yes,"Either stratify the seed or plant fresh seed in the fall, 2 in. deep, allowing it to naturally stratify during the winter.",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yellow Buckeye, Sweet Buckeye"
PLANT-00024,aesculus glabra,Aesculus glabra,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",Alabama | Arkansas | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Maine | Maryland | Michigan | Minnesota | Mississippi | Missouri | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | South Carolina | Tennessee | Texas | West Virginia | Wisconsin,Tree,Full sun to part shade,Medium,Medium,3,7,April,May,AEGL,Hippocastanaceae,Tree,Perennial,"Up to about 75 feet tall, often shorter.","Yellow , Green , Brown","Mar , Apr , May",Medium,"Sun , Part Shade , Shade",Moist,Acidic (pH<6.8),"Rich, moist, well-drained soils.",Squirrels eat seeds. Hummingbirds are attracted to the flowers.,yes,Sow seeds in fall.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut"
PLANT-00025,aesculus parviflora,Aesculus parviflora,Bottlebrush Buckeye,Alabama | Georgia | New Jersey | Pennsylvania | South Carolina,Deciduous shrub,Part shade to full shade,Medium,Low,4,8,June,July,AEPA2,Hippocastanaceae,Shrub,Perennial,,White,"Jun , Jul",,Part Shade,,,"Moist, well-drained, shallow soils over limestone or loamy sands.",Flowers attract hummingbirds and butterflies.,yes,Seeds should be planted as soon as possible after they are collected and never allowed to dry out. Softwood cuttings under mist root in fair percentages. The commercial method of propagating bottlebrush buckeye is root cuttings.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Bottlebrush Buckeye
PLANT-00026,aesculus parviflora var. serotina,Aesculus parviflora var. serotina,bottlebrush buckeye,Alabama | Arkansas | Delaware | Florida | Georgia | Kentucky | Louisiana | Maryland | Mississippi | North Carolina | South Carolina | Tennessee | Virginia,Deciduous shrub,Part shade to full shade,Medium,Low,4,8,July,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bottlebrush buckeye
PLANT-00027,aesculus pavia,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Alabama | Arkansas | Florida | Georgia | Illinois | Kentucky | Louisiana | Mississippi | Missouri | North Carolina | Oklahoma | South Carolina | Tennessee | Texas | Virginia | West Virginia,Deciduous shrub,Full sun to part shade,Medium,Medium,4,8,April,May,AEPA,Hippocastanaceae,Shrub,Perennial,"10-40 feet, Texas specimens usually on the short end of that range, with those in central Texas commonly no more than 15 feet.","Red , Yellow","Mar , Apr , May","Medium , High",Part Shade,Moist,"Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Deep, well-drained sand, loam, clay, limestone. Variety",Flowers attract hummingbirds and bees. Nuts consumed by squirrels.,yes,"Sow untreated seeds promptly in loose, rich, well-drained soil.",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Red Buckeye, Scarlet Buckeye , Firecracker Plant"
PLANT-00028,aesculus sylvatica,Aesculus sylvatica,Painted Buckeye,Alabama | Florida | Georgia | Kentucky | North Carolina | South Carolina | Tennessee | Virginia,Deciduous shrub,Part shade,Medium,Medium,7,8,April,May,AESY,Hippocastanaceae,Shrub,Perennial,"Usually shrub-like, up to about 15 feet tall. Sometimes grows as a","Yellow , Green","Apr , May",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Painted Buckeye
PLANT-00029,agalinis tenuifolia,Agalinis tenuifolia,Slenderleaf False Foxglove,Alabama | Arkansas | Colorado | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Vermont | Virginia | West Virginia | Wisconsin | Wyoming,Annual,Full sun to part shade,Medium,Medium,2,11,August,October,AGTE3,Scrophulariaceae,Herb,Annual,Up to about 3 feet tall.,"White , Red , Pink , Yellow , Purple","Jul , Aug , Sep , Oct , Nov",Medium,"Sun , Part Shade",,,,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Slenderleaf False Foxglove
PLANT-00030,agastache cana,Agastache cana,"Mosquito Plant, Mosquito-plant, Texas Hummingbird Mint",New Mexico | Texas,Herbaceous perennial,Full sun to part shade,Dry to medium,Low,5,9,June,July,AGCA,Lamiaceae,Herb,Perennial,Up to about 3 feet tall.,Pink,"Jun , Jul , Aug , Sep , Oct",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Mosquito Plant, Mosquito-plant, Texas Hummingbird Mint"
