AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Zephyranthes atamasco,ZEAT,Propagate by seed or division of mature clumps. Sow stored seed indoors or in a cold frame in late winter. Seeds sown upon collection should be planted in an outdoor bed. Mature plants can be increased by separating the basal offsets or dividing the cl,Propagate by seed or division of mature clumps. Sow stored seed indoors or in a cold frame in late winter. Seeds sown upon collection should be planted in an outdoor bed. Mature plants can be increased by separating the basal offsets or dividing the cl
Ulmus rubra,ULRU,NA,NA
Juglans cinerea,JUCI,"Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified.","Plant nuts in fall or spring. If nuts are sown in spring, they must be stratified."
Juniperus virginiana,JUVI,"Seed can be sown outdoors in fall or stratified and sown in spring. Seed germination is often poor, so a large quantity of seeds should be sown. Selected forms have been rooted from cuttings.","Seed can be sown outdoors in fall or stratified and sown in spring. Seed germination is often poor, so a large quantity of seeds should be sown. Selected forms have been rooted from cuttings."
Liriodendron tulipifera,LITU,Sow seeds in fall or stratify. Germination percentages are generally quite low. Collect cuttings in summer.,Sow seeds in fall or stratify. Germination percentages are generally quite low. Collect cuttings in summer.
Calycanthus floridus,CAFL22,"Propagate by seed, but watch for slugs on recently germinated plants. Great clonal variation exists in rootability but semi-hardwood cuttings from the right plant will root.","Propagate by seed, but watch for slugs on recently germinated plants. Great clonal variation exists in rootability but semi-hardwood cuttings from the right plant will root."
Crinum americanum,CRAM2,NA,NA
Nephrolepis exaltata,NEEX,NA,NA
Clematis texensis,CLTE2,"Plant seed outdoors in the fall or store and stratify before planting. Single, internodal, softwood cuttings taken in summer can be rooted, although this species does not root readily. Clematis spp. are also propagated by late summer layerings.","Plant seed outdoors in the fall or store and stratify before planting. Single, internodal, softwood cuttings taken in summer can be rooted, although this species does not root readily. Clematis spp. are also propagated by late summer layerings."
Clematis virginiana,CLVI5,Higher germination results from stored seeds sown indoors or in a cold frame than from seed sown directly outdoors after collection.,Higher germination results from stored seeds sown indoors or in a cold frame than from seed sown directly outdoors after collection. Stem cuttings that include at least 2 sets of leaves can be taken any time during the growing season. The fastest method is layering.
Magnolia acuminata,MAAC,NA,NA
Rhus glabra,RHGL,Plant scarified and stratified seed 1/3-3/4 in. deep. Sumac is most commonly propagated by early winter root division. Place root cuttings in flats of moist sand.,Plant scarified and stratified seed 1/3-3/4 in. deep. Sumac is most commonly propagated by early winter root division. Place root cuttings in flats of moist sand.
Yucca filamentosa,YUFI,"Yuccas will germinate promptly from fresh seed held over winter. Seeds germinate best in 60-70 degree temperatures. Yuccas may also be grown from rhizomes,","Yuccas will germinate promptly from fresh seed held over winter. Seeds germinate best in 60-70 degree temperatures. Yuccas may also be grown from rhizomes, stem cuttings, or by digging offsets from the side of established plants. Transplant into a well"
Phlox paniculata,PHPA9,Increase by,"Increase by stem or root cuttings, division or seed."
Myosotis alpestris,MYAS2,NA,NA
Rosa setigera,ROSE2,NA,NA
Taxodium distichum,TADI2,Cones and seeds prone to staining.,Cones and seeds prone to staining.
Magnolia tripetala,MATR,"Cleaned, fall-sown magnolia seed will sprout the following summer.","Cleaned, fall-sown magnolia seed will sprout the following summer."
Dionaea muscipula,DIMU4,NA,NA
Gordonia lasianthus,GOLA,"Propagate by seed or cuttings. Semi-hardwood or softwood cuttings are used; some authorities say cuttings root easily, others say rooting is sporadic. Sow seeds outdoors in sandy soil. Some will germinate the following year; others require an addition","Propagate by seed or cuttings. Semi-hardwood or softwood cuttings are used; some authorities say cuttings root easily, others say rooting is sporadic. Sow seeds outdoors in sandy soil. Some will germinate the following year; others require an addition"
Ilex opaca,ILOP,"Seeds germinate best if planted immediately after collection. They may be pretreated with scarified or double-stratification but the essential element seems to be time. Once internal conditions in the seed are right (it may take years), it will germinate in warm, moist conditions. The sex of the seedlings won't be discernible for 5 to 12 years.","Seeds germinate best if planted immediately after collection. They may be pretreated with scarified or double-stratification but the essential element seems to be time. Once internal conditions in the seed are right (it may take years), it will germinate in warm, moist conditions. The sex of the seedlings won't be discernible for 5 to 12 years."
Myrica cerifera,MOCE2,"Sow seed outdoors in the fall or stratify. Wax myrtle will root from softwood or semi-hardwood cuttings taken in summer. Root cuttings, 2-3 in. long., can be made in early winter.","Sow seed outdoors in the fall or stratify. Wax myrtle will root from softwood or semi-hardwood cuttings taken in summer. Root cuttings, 2-3 in. long., can be made in early winter."
Phlox subulata,PHSU3,Propagate by division or cuttings taken after blooming.,Propagate by division or cuttings taken after blooming.
Stokesia laevis,STLA6,"May be propagated by root cuttings, seed, or division. Sow seeds in a cold frame in late winter, transplanting after the last frost. Take cutting of long, thick roots in the fall and make crown division in the spring or fall.","May be propagated by root cuttings, seed, or division. Sow seeds in a cold frame in late winter, transplanting after the last frost. Take cutting of long, thick roots in the fall and make crown division in the spring or fall."
Aster alpinus,ASAL3,NA,NA
Heuchera sanguinea,HESA3,"Easily propagated by seed, division, or leaf cuttings. Plant untreated seed only 1/8"" deep at most. Plants flower the second year. To propagate vegetatively, divide roots in late fall or early spring. Leaves can be taken in late summer or fall and set","Easily propagated by seed, division, or leaf cuttings. Plant untreated seed only 1/8"" deep at most. Plants flower the second year. To propagate vegetatively, divide roots in late fall or early spring. Leaves can be taken in late summer or fall and set"
Dryopteris carthusiana,DRCA11,"Propagation by division or spores. Sow spores on moist, sterile medium. Keep gametophytes in a sealed, humid container. After sporophytes develop, transplant to potting soil in a humid container until root system has developed.","Propagation by division or spores. Sow spores on moist, sterile medium. Keep gametophytes in a sealed, humid container. After sporophytes develop, transplant to potting soil in a humid container until root system has developed."
Deparia acrostichoides,DEAC4,NA,NA
Adiantum pedatum,ADPE,Easily propagated by,Easily propagated by rhizome division in early spring or late fall or from spores. Easiest to divide roots during fiddlehead stage.
Dryopteris goldiana,DRGO3,NA,NA
Thelypteris palustris,THPA,NA,NA
Onoclea sensibilis,ONSE,Propagate by,Propagate by rhizome division or spores.
Osmundastrum cinnamomeum,OSCI,"Propagate by fresh, green spores or","Propagate by fresh, green spores or rhizome division."
Boltonia asteroides,BOAS,NA,NA
Dennstaedtia punctilobula,DEPU2,Propagate by spores or,"Propagate by spores or rhizome division. Cut rhizomes between fronds, set apart and trim back at least half of each frond."
Coreopsis grandiflora,COGR5,Easily grown from seed. Mature plants may be increased by division.,Easily grown from seed. Mature plants may be increased by division.
Coreopsis lanceolata,COLA5,"Plant seeds in early spring. Can also be propagated by division of basal rosettes or by seed. In the fall, lift a clump from the outer edge of the plant and separate the rosette. Remove a few of the leaves to reduce moisture loss, replant, and water thoroughly.","Plant seeds in early spring. Can also be propagated by division of basal rosettes or by seed. In the fall, lift a clump from the outer edge of the plant and separate the rosette. Remove a few of the leaves to reduce moisture loss, replant, and water thoroughly."
Helenium autumnale,HEAU,Propagate by seeds.,Propagate by seeds.
Lupinus polyphyllus,LUPO2,Sow seeds in fall or divide mature plants in spring or late summer. Seeds may be slow to germinate.,Sow seeds in fall or divide mature plants in spring or late summer. Seeds may be slow to germinate.
Monarda didyma,MODI,"Propagate by ""softwood"" cuttings taken in late spring; increase by division of mature clumps in the spring before the plants send up stems; or sow seed. Also propagated by root division.","Propagate by ""softwood"" cuttings taken in late spring; increase by division of mature clumps in the spring before the plants send up stems; or sow seed. Also propagated by root division."
Oenothera fruticosa,OEFR,"Propagate by seed,","Propagate by seed, stem cuttings taken after flowering or separation of outer rosettes in the fall. The easiest method of increase simply involved bending the flexible stems to the ground and covering the nodes with a bit of soil. Rooting will occur rap"
Osmunda regalis,OSRE,Propagate by spores or,Propagate by spores or rhizome division.
Papaver nudicaule,PANU3,NA,NA
Polypodium vulgare,POVI7,NA,NA
Salvia farinacea,SAFA2,Propagate by seed or cuttings.,Propagate by seed or cuttings.
Gymnocarpium dryopteris,GYDR,Most easily propagated from,Most easily propagated from rhizome pieces.
Catalpa bignonioides,CABI8,Seeds require no stratification or scarification. Both hardwood and softwood,Seeds require no stratification or scarification. Both hardwood and softwood stem cuttings can be used for propagation.
Penstemon barbatus,PEBA2,Propagate by seed.,Propagate by seed.
Hydrangea arborescens,HYAR,"Propagate by seed or cuttings. Softwood cuttings, which should be taken early, root extremely easily.","Propagate by seed or cuttings. Softwood cuttings, which should be taken early, root extremely easily."
Rhododendron maximum,RHMA4,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga,Combine seeds loosely with sphagnum moss and sprinkle lightly over a 2:1 perlite/peat mixture. Germinate under mist or a plastic tent. Optimum temperatures for germination are 45-50 degrees. Transplant seedlings to acid soil with a high content of orga
Abies concolor,ABCO,"Seed is the easiest method of propagation. In nature, Abies seeds often germinate on melting snow fields. Cuttings should be taken from December through March and seem to root best if treated with hormone.","Seed is the easiest method of propagation. In nature, Abies seeds often germinate on melting snow fields. Cuttings should be taken from December through March and seem to root best if treated with hormone."
Arabis caucasica,ARAL8,NA,NA
Echinacea purpurea,ECPU,"Seeds may be sown outside in late fall or stored, stratified and sown in the spring. Plants can be multiplied by making root divisions in early spring however division seems to stimulate the development of too many stems and too few flowers.","Seeds may be sown outside in late fall or stored, stratified and sown in the spring. Plants can be multiplied by making root divisions in early spring however division seems to stimulate the development of too many stems and too few flowers."
Gaillardia aristata,GAAR,"Propagated by seed, root division or separation of offsets. Plant untreated seed in spring or fall. Germination is extremely variable. Plants may flower by the end of the first season. Make root divisions in early spring, dividing the","Propagated by seed, root division or separation of offsets. Plant untreated seed in spring or fall. Germination is extremely variable. Plants may flower by the end of the first season. Make root divisions in early spring, dividing the tap root vertica"
Kalmia latifolia,KALA,NA,NA
Lobelia cardinalis,LOCA2,NA,NA
Quercus palustris,QUPA2,Oaks are most often propagated from seed. Plant outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate,Oaks are most often propagated from seed. Plant outdoors or in deep containers to accomodate long initial taproot. Many oaks require cold temperatures to initiate shoot development. Protect outdoor beds with wire mesh to deter rodent predation.
Symphoricarpos albus,SYAL,Snowberry starts easily from suckers or offshoots; cuttings may also work well. Seeds need to be treated.,Snowberry starts easily from suckers or offshoots; cuttings may also work well. Seeds need to be treated.
Ulmus americana,ULAM,NA,NA
Phlox divaricata,PHDI5,"Propagate by root division, seed, layering, or ""softwood"" cuttings (rooted stem) taken in late spring.","Propagate by root division, seed, layering, or ""softwood"" cuttings (rooted stem) taken in late spring."
Rudbeckia fulgida,RUFU2,Sow seeds in fall or provide cold stratification. Can be divided.,Sow seeds in fall or provide cold stratification. Can be divided.
Parthenocissus quinquefolia,PAQU2,"Sow seed in fall or stratified and sow in spring. The easiest way to propagate is by hardwood or semi-hardwood cuttings, or by layering in the fall.","Sow seed in fall or stratified and sow in spring. The easiest way to propagate is by hardwood or semi-hardwood cuttings, or by layering in the fall."
Elodea canadensis,ELCA7,NA,NA
Baptisia australis,BAAU,"Seeds may be sown outside in late fall or the following spring without any cold treatment. Plant 1/2"" deep. Plants germinate quickly but do not flower for up to 3 years. The tough rootstock can be divided in fall or spring when the plant is dormant. T","Seeds may be sown outside in late fall or the following spring without any cold treatment. Plant 1/2"" deep. Plants germinate quickly but do not flower for up to 3 years. The tough rootstock can be divided in fall or spring when the plant is dormant. T"
Campsis radicans,CARA2,"Take 3-4 inch, new growth semi-hardwood cuttings from May through October. Root cuttings of strong parts of current season's root growth also used, but require more treatment.","Take 3-4 inch, new growth semi-hardwood cuttings from May through October. Root cuttings of strong parts of current season's root growth also used, but require more treatment."
Actaea racemosa,ACRA7,NA,NA
Cypripedium acaule,CYAC3,NA,NA
Helianthus mollis,HEMO2,NA,NA
Liatris spicata,LISP,"Scarified seeds may be sown outside in late fall or stored, stratified and sown the following spring. Some sources suggest spring seedlings will appear by simply laying the flowering stalk in an outdoor seedbed and covering with 1/2 in. of soil in the fa","Scarified seeds may be sown outside in late fall or stored, stratified and sown the following spring. Some sources suggest spring seedlings will appear by simply laying the flowering stalk in an outdoor seedbed and covering with 1/2 in. of soil in the fa"
Typha latifolia,TYLA,Cattails naturally increase their numbers through seed dispersal and,Cattails naturally increase their numbers through seed dispersal and rhizome reproduction. Each fragmented piece of rhizome contains nodes that are able to send up new shoots because of the vast quantity of starch stored in the rhizome. They are considered very easy to establish.
Zizania aquatica,ZIAQ,NA,NA
Chelone lyonii,CHLY2,Plant seeds outside in fall or moist-chill and plant in spring. Seedlings germinate after one year and flower after two. Roots can be divided in early spring or late fall with the plant is dormant. Space divisions 18 in. apart. Make,Plant seeds outside in fall or moist-chill and plant in spring. Seedlings germinate after one year and flower after two. Roots can be divided in early spring or late fall with the plant is dormant. Space divisions 18 in. apart. Make stem cuttings in
Conoclinium coelestinum,COCO13,"Propagate by root division or by seed. Sow seeds in fall or provide cold stratification. Mist flower can also be propagated by ""softwood"" cuttings taken in late spring.","Propagate by root division or by seed. Sow seeds in fall or provide cold stratification. Mist flower can also be propagated by ""softwood"" cuttings taken in late spring."
Lilium canadense,LICA3,Propagation is easiest from division of the scaly,"Propagation is easiest from division of the scaly bulb, which can be dug as soon as the plant goes dormant and the seed is ripe in late summer. Seeds planted just after collection with usually germinate in the fall and overwinter as tiny bulbs, resuming"
Lilium superbum,LISU,NA,NA
Thuja occidentalis,THOC2,NA,NA
Acer saccharinum,ACSA2,Seed has no dormancy and germinates immediately after maturing. Treated softwood cuttings root readily.,Seed has no dormancy and germinates immediately after maturing. Treated softwood cuttings root readily.
Cornus sericea,COSE16,Propagate by seed or cuttings. Hardwood cuttings do not require treatment. Collected sprouts are easily established.,Propagate by seed or cuttings. Hardwood cuttings do not require treatment. Collected sprouts are easily established.
Heliopsis helianthoides,HEHE5,"Easily propagated by seed in fall or early spring. Large clumps of ox-eye can be divided, but it is difficult.","Easily propagated by seed in fall or early spring. Large clumps of ox-eye can be divided, but it is difficult."
Physocarpus opulifolius,PHOP,Propagate by fall-sown seed or semi-hardwood cuttings with or without hormone treatment.,Propagate by fall-sown seed or semi-hardwood cuttings with or without hormone treatment.
Picea glauca,PIGL,Propagate by seeds or cuttings taken in late July.,Propagate by seeds or cuttings taken in late July.
Tsuga canadensis,TSCA,"Layering has proven successful, as has propagation by seed and cuttings. Cutting must be treated. Sow seeds in fall or stratify until spring. Spreading a layer of compost on bare soil beneath a mature hemlock and allowing natural seeding to produce a f","Layering has proven successful, as has propagation by seed and cuttings. Cutting must be treated. Sow seeds in fall or stratify until spring. Spreading a layer of compost on bare soil beneath a mature hemlock and allowing natural seeding to produce a f"
Viburnum acerifolium,VIAC,NA,NA
Iris cristata,IRCR,"If seeds are collected, they should be planted immediately in acid soil. Seedlings will take two or three years to flower. Propagating by division is much more reliable than seeds. Divide in early fall when the leaves have begun to yellow.","If seeds are collected, they should be planted immediately in acid soil. Seedlings will take two or three years to flower. Propagating by division is much more reliable than seeds. Divide in early fall when the leaves have begun to yellow."
Liatris pycnostachya,LIPY,"Scarified seeds may be sown outside in late fall or stored, stratified and sown the following spring. These plants produce a large amount of seed so storing the seed in paper bags in the refrigerator after collection and sowing in early spring offers good results as well. When sowing ex-situ, germination usually occurs within 20-25 days. The optimum temperature range is 55-75 degrees F in well drained soil. Barely cover the seed with growing media and reduce soil temperature at night.","Scarified seeds may be sown outside in late fall or stored, stratified and sown the following spring. These plants produce a large amount of seed so storing the seed in paper bags in the refrigerator after collection and sowing in early spring offers good results as well. When sowing ex-situ, germination usually occurs within 20-25 days. The optimum temperature range is 55-75 degrees F in well drained soil. Barely cover the seed with growing media and reduce soil temperature at night."
Campanula rotundifolia,CARO2,"For best results, seeds should be sown inside and not covered after sowing. They should be bottom-watered. These seedlings will germinate quickly but will not flower until the second year. Root cuttings or","For best results, seeds should be sown inside and not covered after sowing. They should be bottom-watered. These seedlings will germinate quickly but will not flower until the second year. Root cuttings or stem cuttings stuck in damp sand are other propagation methods useful for this species."
Oenothera biennis,OEBI,Sow unstratified seed in fall â<U+0080><U+0093> stratified in spring. Tip cuttings can be taken in spring.,Sow unstratified seed in fall â€“ stratified in spring. Tip cuttings can be taken in spring.
Helianthus annuus,HEAN3,Use treated seeds. Germination is poor.,Direct sow seeds or sow in pots in spring when soil temperature is above 50 degrees F.
Rudbeckia hirta,RUHI2,"Propagates very easily from seed sown in fall or spring. Spring-sown seed should be stratified. Rake seed into a loose topsoil or cover with ¼ to ½ inch of soil or mulch. If possible, supplement with water if fall or spring rains are infrequent and light. The seed requires several days of moisture and should germinate in one to two weeks.","Propagates very easily from seed sown in fall or spring. Spring-sown seed should be stratified. Rake seed into a loose topsoil or cover with Â¼ to Â½ inch of soil or mulch. If possible, supplement with water if fall or spring rains are infrequent and light. The seed requires several days of moisture and should germinate in one to two weeks."
Verbena hastata,VEHA2,Propagate from seed.,Propagate from seed.
Amsonia tabernaemontana,AMTA2,"Seed can be sown outside, 1/2"" deep, after collection. Seedlings germinate immediately, but flower the second year following germination.","Seed can be sown outside, 1/2"" deep, after collection. Seedlings germinate immediately, but flower the second year following germination."
Rudbeckia laciniata,RULA3,Untreated seed.,Untreated seed.
Thermopsis villosa,THVI,"Seeds can be sown outdoors upon collection or stored, treated and sown later. Mature plants may be divided in the fall but new divisions recover slowly. The problem is the deep roots which are broken when moved. Roots are so thick that it may take a hatchet to divide them.","Seeds can be sown outdoors upon collection or stored, treated and sown later. Mature plants may be divided in the fall but new divisions recover slowly. The problem is the deep roots which are broken when moved. Roots are so thick that it may take a hatchet to divide them."
Juniperus horizontalis,JUHO2,"Generally, cuttings should be taken after several hard freezes although references point to any time from July to April. Hormone treatment improves rooting. Propagation is also possible by seed. Seed can be sown outdoors in fall or stratified and sown","Generally, cuttings should be taken after several hard freezes although references point to any time from July to April. Hormone treatment improves rooting. Propagation is also possible by seed. Seed can be sown outdoors in fall or stratified and sown"
Adlumia fungosa,ADFU,NA,NA
Coreopsis tinctoria,COTI3,Seeds may be sown outside in late fall or the following spring without any cold treatment. Seedlings grow rapidly. This plant can be increased by separating outer rosettes from the clump in the fall.,Seeds may be sown outside in late fall or the following spring without any cold treatment. Seedlings grow rapidly. This plant can be increased by separating outer rosettes from the clump in the fall.
Collinsia heterophylla,COHE,Sow seeds in both the fall and early spring for the maximum season of flowering.,Sow seeds in both the fall and early spring for the maximum season of flowering.
Ipomopsis rubra,IPRU2,"I. rubra was the most successful of over twenty individual species field-tested at the National Wildflower Research Center in 1984-85, yielding an average of over 200 seedlings per square meter when seeded at the recommended rate. Propagate by sowing seed in fall. A fall seeding recommended. Be sure the seeds are in good contact with the soil by lightly raking the seed into loose topsoil. Since it is a","I. rubra was the most successful of over twenty individual species field-tested at the National Wildflower Research Center in 1984-85, yielding an average of over 200 seedlings per square meter when seeded at the recommended rate. Propagate by sowing seed in fall. A fall seeding recommended. Be sure the seeds are in good contact with the soil by lightly raking the seed into loose topsoil. Since it is a biennial, it is recommended that you plant two consecutive years in order to produce flowering stalks each year."
Rosa carolina,ROCA4,"Propagated by seed, cuttings or","Propagated by seed, cuttings or stolon division. Separate and transplant stems arising from the underground stolons in late fall or early spring. Make softwood cuttings in early spring after vigorous shoot growth has just started. Semi-hardwood cutting"
Maclura pomifera,MAPO,NA,NA
Carya alba,CATO6,Most easily grown from fresh seed sown immediately after collection or stratified and sown in spring. Increase by hardwood cuttings is usually successful.,Most easily grown from fresh seed sown immediately after collection or stratified and sown in spring. Increase by hardwood cuttings is usually successful.
Celtis occidentalis,CEOC,Stratified seed sown in spring or untreated seed sown in fall. Can be rooted from juvenile wood and from root sprouts or suckers.,Stratified seed sown in spring or untreated seed sown in fall. Can be rooted from juvenile wood and from root sprouts or suckers.
Chamaecyparis lawsoniana,CHLA,"Seed germination is usually low, due in part to poor seed quality, and also to embryo dormancy. Softwood or semi-hardwood cuttings taken in fall are the principal means of propagation.","Seed germination is usually low, due in part to poor seed quality, and also to embryo dormancy. Softwood or semi-hardwood cuttings taken in fall are the principal means of propagation."
Phalaris arundinacea,PHAR3,NA,NA
Pinus sabiniana,PISA2,Propagate by seed.,Propagate by seed.
Pinus strobus,PIST,Sow stratified seed outside in fall. It will be several years before the seedlings show any rapid growth.,Sow stratified seed outside in fall. It will be several years before the seedlings show any rapid growth.
Pontederia cordata,POCO14,NA,NA
Salvia coccinea,SACO5,NA,NA
Chasmanthium latifolium,CHLA5,Propagate by seed or root division.,Propagate by seed or root division.
Sequoiadendron giganteum,SEGI2,Propagate from seed. Germination ranges from 30-40%. Optimum temperatures for germination range from 60-70 degrees.,Propagate from seed. Germination ranges from 30-40%. Optimum temperatures for germination range from 60-70 degrees.
Berberis aquifolium,MAAQ2,Can be grown from seed. Cuttings should be taken in November or after some exposure to cold. Treat with hormone.,Can be grown from seed. Cuttings should be taken in November or after some exposure to cold. Treat with hormone. Simple division of the parent is effective if only a few plants are needed.
Robinia pseudoacacia,ROPS,"Propagate by seed, spring root cuttings or dormant sucker divisions. Cuttings should be stored in cool, dry sand for three weeks before planting.","Propagate by seed, spring root cuttings or dormant sucker divisions. Cuttings should be stored in cool, dry sand for three weeks before planting."
Glandularia canadensis,GLCA2,"Seed sown in spring or fall, cuttings, and root division are methods of propagation.","Seed sown in spring or fall, cuttings, and root division are methods of propagation."
Aquilegia canadensis,AQCA,"Most easily propagated by seed because mature rootstocks are difficult to divide and transplant. Seeds may be sown immediately after collection or stored and given a cold-moist treatment. Sow seed in fall as soon as temperature drops and in spring before the worst heat. Will germinate in summer, but not as well and plants struggle more. Sow by just scattering on the surface and lightly tamping. Seedlings will flower the second year following germination.","Most easily propagated by seed because mature rootstocks are difficult to divide and transplant. Seeds may be sown immediately after collection or stored and given a cold-moist treatment. Sow seed in fall as soon as temperature drops and in spring before the worst heat. Will germinate in summer, but not as well and plants struggle more. Sow by just scattering on the surface and lightly tamping. Seedlings will flower the second year following germination."
Asclepias tuberosa,ASTU,"The easiest method of propagation is root cuttings. In the fall, cut the","The easiest method of propagation is root cuttings. In the fall, cut the taproot into 2-inch sections and plant each section vertically, keeping the area moist."
Dicentra eximia,DIEX,"Propagate by seed sown immediately or in the spring after a cold-moist period. Self-sows readily, so look for transplants around the parent. Can also be increased rapidly by division in fall or early spring.","Propagate by seed sown immediately or in the spring after a cold-moist period. Self-sows readily, so look for transplants around the parent. Can also be increased rapidly by division in fall or early spring."
Liatris scariosa,LISC2,NA,NA
Eragrostis spectabilis,ERSP,Propagate by seed or division of clump.,Propagate by seed or division of clump.
Aquilegia chrysantha,AQCH,NA,NA
Betula populifolia,BEPO,NA,NA
Gaillardia pulchella,GAPU,"Plant in the fall and rake the seed into loose topsoil to ensure good seed/soil contact. With moisture from rain or watering, G. pulchella will germinate in 1 – 2 weeks and establish a healthy","Plant in the fall and rake the seed into loose topsoil to ensure good seed/soil contact. With moisture from rain or watering, G. pulchella will germinate in 1 â€“ 2 weeks and establish a healthy taproot system before the winter frost. If sowing seed indoors in late winter, allow 8 weeks for well-rooted seedling before transplanting at start of frost-free period."
Phacelia tanacetifolia,PHTA,Propagated only from seeds. Sow on top of soil as light is needed for germination.,Propagated only from seeds. Sow on top of soil as light is needed for germination.
Juniperus communis,JUCO6,NA,NA
Parkinsonia aculeata,PAAC3,Untreated seed or semi-hardwood cuttings taken in summer.,Untreated seed or semi-hardwood cuttings taken in summer.
Philadelphus lewisii,PHLE4,NA,NA
Rosa blanda,ROBL,Propagated by,Propagated by stem cuttings or division of rootstock. Softwood cuttings should be taken with a heel and treated with hormone. Rose seeds should be taken from the hips as soon as ripe and planted in the open or stratified before planting.
Rosa virginiana,ROVI2,NA,NA
Wisteria frutescens,WIFR,"Cuttings best, because can take years to bloom from seed.","Cuttings best, because can take years to bloom from seed."
Salvia azurea,SAAZ,NA,NA
Thuja plicata,THPL,Cuttings taken in Dec. or Jan. and treated with hormone root very well. Western cedar is also easily grown from layers or seeds. Occasional dormant seeds are found which require stratification.,Cuttings taken in Dec. or Jan. and treated with hormone root very well. Western cedar is also easily grown from layers or seeds. Occasional dormant seeds are found which require stratification.
